property_id,property_link,listing_title,description,location,num_bedrooms,num_bathrooms,max_tenants,deposit,rent_pcm,bills_included,student_friendly,family_friendly,pet_friendly,smoker_friendly,available_from,min_tenancy_months,garden,parking,fireplace,furnishing,closest_station,closest_station_mins,postcode,scrape_date
1167183,https://www.openrent.co.uk//1167183,"Studio Flat, Coventry House, SW1Y","Directly underneath Piccadilly's second digital screen, opposite the London Trocadero, this is a vibrant, energy filled location.MIN - 9 months tenancy - 3 MONTHS MUST BE PAID IN ADVANCE The contemporary look and feel, plus unbelievable location makes these flats a thrilling experience - staying right in the heart of the action.These modern living spaces come fully equipped with contemporary fitted kitchenettes, cosy living / dining areas, double bedroom spaces that can be separated from the lounge area (should you choose) by fitted sliding doors and spacious, airy shower rooms.You'll find in each apartment bedroom space a cosy double bed, bedside tables and plenty of storage. Adjoined to the bedroom is the shower room, accompanied by towels and luxury shower products as standard. Perfect for putting your feet up after a day exploring the city, the lounge area features a plush cosy sofa, TV and coffee / small dining table.The fully fitted kitchen contains all the essentials you'll be needing including a dishwasher, washer/dryer, microwave oven, hobs, cutlery and crockery. As well as WiFi throughout, these apartments are fully air conditioned and are filled with plenty natural light.Please note that furniture colours may vary between our Coventry House apartments.",London,1,1,2,2307,2000,No,Yes,Yes,No,No,14-Sep-21,9,No,No,No,Furnished,Piccadilly Circus Station,1,SW1Y,14-Sep-21
1134557,https://www.openrent.co.uk//1134557,"2 Bed Flat, Garrick Street, WC2E","We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to students only.Available to move in from 05 September 2021, this property benefits from available parking. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£3,423.33 per month (Â£790.00 per week)Deposit / Bond is Â£3,949.99Minimum tenancy is 6 monthsMaximum number of tenants is 3",London,2,1,3,3949,3423,No,Yes,No,No,No,14-Sep-21,6,No,Yes,No,Furnished,Leicester Square Station,1,WC2E,14-Sep-21
1009710,https://www.openrent.co.uk//1009710,"1 Bed Flat, Meridian House, WC2H","We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 27 August 2021, this property benefits from available parking. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£2,491.67 per month (Â£575.00 per week)Deposit / Bond is Â£2,875.00Minimum tenancy is 9 monthsMaximum number of tenants is 2",London,1,1,2,2875,2491,No,No,Yes,No,No,14-Sep-21,9,No,Yes,No,Furnished,Leicester Square Station,2,WC2H,14-Sep-21
1200588,https://www.openrent.co.uk//1200588,"3 Bed Flat, Richmond Mews, W1D","About this spaceThis luxury loft apartment in the heart of Soho exudes a swanky, sexy ambience with its gorgeous open plan layout and boujie dÃ©cor. Situated between two of Sohoâs most iconic streets, Dean St and Wardour St, this apartment is a quiet haven away from the bustling streets of London. A favourite for Hollywood A-listers, this sassy apartment has featured in Ok, Hello, Daily Mail, Now, BBC, Sky, and a myriad of shoots for world-famous fashion brands. This converted warehouse is chic and modish with its bright colours contrasted with the brick wall feature and wacky artwork. In other words, it is the perfect combination of contemporary, Warholian, and Vorticist dÃ©cor, and every piece of furniture has been hand-picked from Londonâs most exclusive auction houses.With three bedrooms, three bathrooms, a lift and porter, what more can you really ask for? This apartment is, letâs be honest, the epitome of cool. Decorated by a winning interior designer and home to air conditioning and underfloor heating in the master bedroom, whatever the weather, this is the place for you. The Master bedroom with a king size bed, luxury shag pile carpet, snake skin chair, 6 mirror double wardrobes, and a stunning ensuite, is perfect for any kind of guests.Now, letâs talk tech. This property boasts opulence with its many added luxuries. Thereâs a gorgeous steam room shower, Sub Zero fridge, debonair Gaggenau appliances, wine cooler, AND steam oven. Again, what more could you possibly want? There are two award winning Blade cooling fans to keep you comfortable whilst youâre watching the 75â FreeView TV. Got a bit chilly? Turn on the cosy underfloor heating and retreat to the master bedroom.With three bedrooms this apartment is the perfect spot. You can make use of the wine cooler and get merry at home in one of the two gorgeous dining areas, cooking a feast in the contemporary kitchen. Alternatively, you could make the most of your surroundings and explore Soho in all its chic, risquÃ© glory.There is a lift taking you up to the second floor.",London,3,2,6,13269,11500,Yes,Yes,Yes,No,No,14-Sep-21,3,No,No,No,Furnished,Tottenham Court Road Station,5,W1D,14-Sep-21
1193962,https://www.openrent.co.uk//1193962,"1 Bed Flat, Marconi House, WC2R","Beautiful luxurious one bedroom DUPLEX within one of London's most prestigious and conveniently placed buildings - The Marconi House.  Designed by world class award winning architect firm Forster and Partners. Marconi House is minutes away from Covent Garden, Royal Opera House and River Thames. The property spread over two floors of this high end impressive grade II listed building in excess of 715 sq ft living space. Open plan reception and dining room with Mele fitted kitchen and appliance. There is one guest bathroom in the lower floor. The upper floor comprises of one double bedroom with fitted closet and ensuites. Benefits from the state-of-the-art home technology with integrated touch panel lighting and cooling system - all within the touch of smart tablet. The Marconi House offers 24 hour concierge service and 3000 sq ft hotel style lobbyRemarks to renter : Proven employment track record. Credit report requires. No Pet. No Smokers. Valid residence visa. Private landlord managed property. I am traveling most of the time. Best way to contact me is via email slshirleychoi   at gmail.com or WhatsApp me at +85267166083",London,1,2,2,4075,3531,No,Yes,No,No,No,14-Sep-21,12,No,No,No,Furnished,Temple Station,5,WC2R,14-Sep-21
1211249,https://www.openrent.co.uk//1211249,"2 Bed Flat, Drury Lane, WC2B","We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location.Available to move in from 14 September 2021. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£3,200.00 per month (Â£738.46 per week)Deposit / Bond is Â£3,200.00Minimum tenancy is 6 monthsMaximum number of tenants is 5",London,2,2,5,3200,3200,No,No,Yes,No,No,14-Sep-21,6,No,No,No,Furnished,"Covent Garden , Underground Station",3,WC2B,14-Sep-21
1194604,https://www.openrent.co.uk//1194604,"2 Bed Flat, East Block, SE1","We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location direct from the landlord and therefore it is 10% cheaper than through agents in one of the best flats in County Hall given its location and high ceilings. * Location: Riverside by London Eye next to Jubilee Gardens and proximity to St James' and Green Parks and close to Kings College and LSE* Flat: high ceilings, lots of light, ample storage, access to onsite pool and gym * 24-7 security: onsite concierge and secure monitored entrances* Southbank:on your doorstep with restaurants and bars from the South Bank Centre, IMAX, National Theatre, New Tate and a pleasant walk toward Shakespeare's Globe and the walkway to St Paul's cathedral or on to London Bridge. The video shows the full spectrum of location, building and facilities but is for another flat in the same block we own.Available to move in from September 2020, this property benefits from available parking, and garden access. Property is offered furnished and suitable for a single occupant or a couple.Car park space available as extra.",London,2,2,2,3375,2925,No,Yes,Yes,No,No,20-Sep-21,12,Yes,Yes,No,Furnished,"London Waterloo, Rail Station",5,SE1,14-Sep-21
1199862,https://www.openrent.co.uk//1199862,"2 Bed Flat, Luke House, SW1P","5th floor - 2 bedrooms - 957sq ft - 2 bathrooms â¨Available furnished or unfurnished, Laundry Service, Lifts, Parking, Wifi ðThis large, bright and spacious two bedroom apartment is on the fifth floor and is located in the heart of Victoria.The apartment has a large bright bedroom with a spacious reception area, plenty of storage space, fully fitted kitchen and a modern bathroom. The apartment comes with free wifi and is set up for a Sky subscription.Luke House offers an excellent variety of 30 newly refurbished studio, one and two bedroom apartments, situated on the upper floors of this purpose built development building, offering flexible accommodation to suit all requirements. The building has a dedicated building manager, secure underground parking, wifi, laundry room and lift service.Centrally located in Westminster, just off Victoria Street, Luke House is surrounded by shops, bars and restaurants, as well as giving easy access to the rest of the city. Residents of Luke House have easy access to some of the capitalâs best known historic sights â including Buckingham Palace, the Houses of Parliament and Westminster Abbey. It is a 5 minute walk to St Jamesâs Park tube station (District line) and to Victoria tube and train station (Victoria line & Gatwick Express).Rent directly from us and pay no agency fees. All of our tenants benefit from a dedicated building manager who is on hand to assist with any property related issues. We also employ a dedicated team of maintenance experts and provide a 24-hour emergency helpline.*All viewings under current government guidelines. Remote live video viewings by appointment and virtual tours available*Flexible rental termsLift service| Superfast Broadband Available furnished or unfurnishedDedicated building manager | Pet friendly 24 hour emergency helpline serviceParking available TRANPORT nearby:		St. James's Park - 0.1 miles3 minute walk		Westminster - 0.4 miles8 minute walk		Victoria - 0.6 miles11 minute walk		London Victoria - 0.6 miles11 minute walk		Pimlico - 0.6 miles12 minute walkBest Regards,Federicað¦",London,2,2,4,4073,4073,No,Yes,Yes,Yes,Yes,14-Sep-21,6,No,Yes,No,Furnished,"St. James's Park , Underground Station",3,SW1P,14-Sep-21
1212284,https://www.openrent.co.uk//1212284,"Studio Flat, Luke House, SW1P","This recently refurbished large studio apartment has a large bright reception area, with wooden floor on the fifth floor, ample storage space, fully fitted kitchen and a modern bathroom. The apartment comes with wifi and is set up for a Sky subscription.Luke House offers an excellent variety of 30 newly refurbished studio, one and two bedroom apartments, situated on the upper floors of this purpose built development building, offering flexible accommodation to suit all requirements. The building has a dedicated building manager, secure underground parking, wifi, laundry room and lift service.Centrally located in Westminster, just off Victoria Street, Luke House is surrounded by shops, bars and restaurants, as well as giving easy access to the rest of the city. Residents of Luke House have easy access to some of the capitalâs best known historic sights â including Buckingham Palace, the Houses of Parliament and Westminster Abbey. It is a 5 minute walk to St Jamesâs Park tube station (District line) and to Victoria tube and train station (Victoria line & Gatwick Express).",London,1,1,2,2250,1950,No,Yes,Yes,Yes,Yes,14-Sep-21,6,No,Yes,No,At tenant choice,"St. James's Park , Underground Station",3,SW1P,14-Sep-21
1212313,https://www.openrent.co.uk//1212313,"Studio Flat, Luke House, SW1P","We are proud to offer this delightful 1 bedroom, 1 bathroom studio flat in a great location.Available to move in from 14 September 2021, this property benefits from available parking, and garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£1,993.33 per month (Â£460.00 per week)Deposit / Bond is Â£2,299.99Minimum tenancy is 6 monthsMaximum number of tenants is 2",London,1,1,2,2299,1993,No,Yes,Yes,Yes,Yes,14-Sep-21,6,Yes,Yes,No,Furnished,"St. James's Park , Underground Station",3,SW1P,14-Sep-21
